0,男1,0,倒れている,1
0,女1,0,倒れている,2
0,男2,0,外で待機,3
1,男1,0,起き上がる(あたりを見回す),1
2,男1,うわぁっ！,0,1
3,女1,0,目をさます(あたりを見回す),2
4,女1,おやすみなさい,寝る,2
5,男1,待って待って現実逃避しないで！,両手で「待って」のポーズ,1
6,女1,何ですかあなた誰ですか！私をどうするつもりなんですか！,0,2
7,男1,うん、確かにいっぺんに現実受け止めたらそうなるよね！？ごめん僕が悪かった,手をあわせる,1
8,女1,誰かー！ここに誘拐犯の方がいまーす！助けてくださーい！,叫ぶポーズ(振り向く),2
9,男2,やかましいわよ、ちょっと静かになさい！,登場して、立ち止まり腰に手を当てる,3
10,男1,ええええぇぇ！？,0,1
10,女1,ええええぇぇ！？,0,2
11,男2,あら、あんた達起きたのね。おはよう、気分はどう？,0,3
12,男1,いや、おかげさまで気分はそれなり・・・じゃなくて！,0,1
13,男2,どうかした？,0,3
14,女1,あの、失礼ですけどあなた、肉体の性別と精神の性別が一致しておられない方ですよね？,0,2
15,男2,チッチッチッ。甘いわね、お嬢さん。あたしは別にそうゆう立場の人間ではないわ。,チッチッチッ,3
16,女1,いや、全然そういう立場にしか見えませんけど！,0,2
17,男2,ところで？何か無粋な声をあげていたようだけど？,0,3
18,女1,あ、そうでした。実はこの人が私の体を触ってきて・・・,指差す,2
19,男1,誤解です！嘘をつかないでください！,0,1
20,男2,そんなことで騒がないの。はい、二人ともちゃんと謝って、仲直りしなさい,0,3
21,男1,謝れって、別に僕悪い事してないじゃ、、、,0,1
22,男2,0,ドスンと床を踏む,3
23,男1,・・・・・すいません。,頭をさげる,1
24,男2,よろしい。,0,3
25,女1,ごめんなさい,頭をさげる,2
26,男2,よし、素直でよろしい。喧嘩の収まりってのは、やっぱりこう平和的でないとね,0,3
27,男1,おもくそ暴力に屈した感じになってますけど・・・,0,1
28,男2,0,ドスンと床を踏む,3
29,男1,ごめんなさい平和的でした。,0,1
30,男2,わかってくれればいいのよ。じゃあねガキども。あたしは一人で出口を探すから。,手を振る,3
31,男2,0,退場しようとして、動きを止める,3
32,女1,ど、どうしました？,0,2
33,男2,0,ゆっくり振り返って、倒れる,3
34,女1,きゃあああ！,口に手を当てる,2
35,男1,お、おねえのお兄さん！？,0,1
36,男2,む、胸が、くるしい、、、,0,3
37,男1,お兄さん！お兄さん！,男2を揺さぶる,1
38,女1,いや、こんなの、いや,口に手を当てる,2
39,男1,あの・・・,女の方へ歩み寄る（歩く）,1
40,女1,来ないで！,0,2
