0,1,徹,0
0,2,芽生,0
0,3,陽子,0
1,3,陽子,何やってるの、こんな所で！
2,1,徹,陽子！
2,2,芽生,陽子！
3,1,徹,いや、これは違うんだよ
4,3,陽子,何が違うの？
5,2,芽生,もうこの際だからはっきり言ってやってよ
6,3,陽子,どうして二人がここにいるのよ？
7,1,徹,いや、それはその、ほら、ここ夜景が綺麗じゃん、だから陽子にも見せてやろうと思って
8,2,芽生,徹先輩！話が違うじゃないか！
9,1,徹,ごめん！おれが悪かった！
10,3,陽子,はあ？
11,1,徹,いや、お前との思い出の場所だろ、ここ。そんな神聖な場所でこんなことするなんて、おれが間違ってたよ
12,2,芽生,どういうこと？
13,1,徹,正直言うとな、ここはおれが陽子に、初めて思いを打ち明けた場所なんだ
14,2,芽生,なんでそんな所に呼び出すのよ
15,1,徹,夜景が綺麗だから・・・
16,2,芽生,そういう問題じゃないでしょ。なんで元カノと思い出の場所で待ち合わせたりするのよ！
17,3,陽子,そんなことはどうでもいいの、なんでよりにもよってここか聞いてるのよ！
18,1,徹,だから、夜景が綺麗だから、、、ごめん！
19,3,陽子,そんな話はどうでもいいから他で言ってくれる？ここはね、特別な場所なの。
20,1,徹,えっ!?
20,2,芽生,えっ!?
21,1,徹,あ、まさかお前、別の男を連れてくるつもりじゃ？
22,3,陽子,そういうことじゃないの、私はね、無差別がやりたかったの！
23,2,芽生,何言ってるの？
24,3,陽子,無差別っていうのはね、対象が知らない人の場合なの。二人とも私の知ってる人でしょ？それじゃ困るんだよ。
25,1,徹,ごめん、なんの話してるの？
26,3,陽子,せっかく苦労して準備したのが台無しじゃない。第一これでやったら、「誰でもよかった」ってあの言葉が言えないでしょ。三角関係のもつれっていう、一番ありふれた動機にされちゃうじゃん。つまんないよ、そんなの。
27,2,芽生,話が見えないんだけど。
28,3,陽子,とにかくそういうことだから、二人とも向こうに行って！
29,2,芽生,一人寂しく花火でもやるの？
30,3,陽子,説明している暇はないの。今夜中にやりたいんだから。
31,1,徹,なんだかよく分かんないけど、どいた方が良さそうだな。
32,2,芽生,そうね、あっちへいって、じっくり話しましょう。
33,1,徹,ああ。じゃあ陽子！詳しい話はまた今度な！
34,2,芽生,0
35,3,陽子,やっと行ったか。
36,3,陽子,きたきた、知らない奴ら。いよいよ念願の無差別殺人だ。これでもう流行に遅れてるって言わせないぞ！
37,3,陽子,0
